timestamp,NIR_proxy_broad
39.4457,45.27
39.4753,45.24
39.5043,45.21
39.5405,45.17
39.5771,45.17
39.6443,45.15
39.6791,45.16
39.7491,45.09
39.7804,45.05
39.8427,44.94
39.8777,44.92
39.9455,45.36
39.9795,45.55
40.0462,45.87
40.0788,46.05
40.1455,46.28
40.1790,46.36
40.2453,46.64
40.2784,46.74
40.3430,46.86
40.3807,46.94
40.4460,47.03
40.4794,47.08
40.5439,47.12
40.5801,47.10
40.6468,47.12
40.6760,47.13
40.7418,47.16
40.7789,47.17
40.8468,47.20
40.8756,47.14
40.9318,47.15
40.9718,47.18
41.0347,47.28
41.0693,47.34
41.1027,47.34
41.1386,47.44
41.1772,47.42
41.2475,47.47
41.3059,47.44
41.3369,47.41
41.3747,47.44
41.4435,47.52
41.4795,47.50
41.5111,47.49
41.5451,47.54
41.5809,47.48
41.6449,47.43
41.6810,47.47
41.7451,47.46
41.7801,47.43
41.8473,47.39
41.8811,47.40
41.9485,47.38
41.9805,47.38
42.0478,47.36
42.0781,47.36
42.1089,47.40
42.1480,47.44
42.1819,47.50
42.2466,47.64
42.2799,47.70
42.3478,47.73
42.3817,47.71
42.4323,47.69
42.4661,47.69
42.5291,47.73
42.5642,47.76
42.5988,47.72
42.6327,47.69
42.6775,47.66
42.7468,47.66
42.7789,47.65
42.8057,47.65
42.8421,47.71
42.8798,47.73
42.9479,47.70
42.9808,47.73
43.0472,47.71
43.0800,47.74
43.1455,47.76
43.1813,47.78
43.2455,47.88
43.2818,47.85
43.3461,47.94
43.3794,47.90
43.4480,47.92
43.4868,47.93
43.5146,47.91
43.5609,47.94
43.5906,47.93
43.6292,48.02
43.6630,47.98
43.6956,47.97
43.7320,48.03
43.7712,47.96
43.7974,47.92
43.8353,47.90
43.8674,47.85
43.8994,47.83
43.9400,47.78
43.9783,47.74
44.0406,47.69
44.0757,47.68
44.1022,47.66
44.1470,47.63
44.1828,47.61
44.2467,47.52
44.2827,47.49
44.3453,47.51
44.3819,47.50
44.4474,47.49
44.4779,47.46
44.5447,47.50
44.5802,47.52
44.6476,47.59
44.6842,47.62
44.7165,47.67
44.7495,47.72
44.7837,47.68
44.8476,47.69
44.8803,47.60
44.9167,47.62
44.9479,47.64
44.9810,47.63
45.0432,47.63
45.0791,47.64
45.1081,47.70
45.1389,47.71
45.1772,47.72
45.2468,47.67
45.2831,47.70
45.3168,47.69
45.3551,47.66
45.3866,47.63
45.4469,47.65
45.4812,47.64
45.5141,47.60
45.5776,47.56
45.6083,47.56
45.6462,47.52
45.6814,47.52
45.7105,47.52
45.7479,47.54
45.7801,47.52
45.8482,47.48
45.8754,47.44
45.9364,47.48
45.9706,47.44
46.0010,47.34
46.0373,47.36
46.0762,47.35
46.1037,47.32
46.1426,47.27
46.1777,47.26
46.2100,47.20
46.2387,47.24
46.2739,47.16
46.3080,47.11
46.3767,47.05
46.4481,47.07
46.4841,47.09
46.5150,47.07
46.5474,47.00
46.5804,46.98
46.6454,47.11
46.6835,47.17
46.7153,47.19
46.7811,47.30
46.8493,47.40
46.8836,47.36
46.9132,47.36
46.9796,47.25
47.0474,47.10
47.0857,47.07
47.1157,46.94
47.1762,46.97
47.2458,46.86
47.2844,46.83
47.3138,46.84
47.3473,46.79
47.3809,46.78
47.4497,46.83
47.4828,46.86
47.5164,46.84
47.5491,46.88
47.5847,46.91
47.6489,46.87
47.6849,46.83
47.7523,46.75
47.7863,46.77
47.8503,46.81
47.8844,46.79
47.9149,46.82
47.9774,46.87
48.0499,46.85
48.0851,46.87
48.1165,46.86
48.1515,46.85
48.1834,46.85
48.2497,46.99
48.2857,46.97
48.3157,47.00
48.3451,47.03
48.3789,47.08
48.4500,47.14
48.4835,47.16
48.5375,47.22
48.5726,47.27
48.6484,47.34
48.6810,47.40
48.7170,47.34
48.7488,47.35
48.7842,47.31
48.8502,47.33
48.8824,47.38
48.9142,47.38
48.9802,47.41
49.0518,47.38
49.0829,47.38
49.1163,47.43
49.1421,47.42
49.1800,47.36
49.2477,47.33
49.2851,47.33
49.3152,47.26
49.3463,47.26
49.3798,47.25
49.4499,47.26
49.4854,47.24
49.5196,47.21
49.5518,47.20
49.5820,47.25
49.6494,47.22
49.6863,47.21
49.7181,47.18
49.7487,47.19
49.7817,47.17
49.8505,47.22
49.8869,47.23
49.9417,47.17
49.9791,47.16
50.0501,47.16
50.0866,47.13
50.1175,47.10
50.1516,47.09
50.1839,47.06
50.2504,47.06
50.2863,47.07
50.3194,47.10
50.3860,47.08
50.4499,47.06
50.4875,47.08
50.5421,47.03
50.5774,47.01
50.6071,47.05
50.6486,47.03
50.6862,47.04
50.7186,47.09
50.7486,47.14
50.7807,47.10
50.8384,47.10
50.9219,47.06
50.9686,47.10
50.9979,47.09
51.0356,47.09
51.0661,47.05
51.1032,47.00
51.1331,47.01
51.1719,47.02
51.2344,47.03
51.2698,47.03
51.3056,47.00
51.3334,46.97
51.3742,47.00
51.4051,46.93
51.4628,46.87
51.5005,46.89
51.5320,46.82
51.5753,46.84
51.6286,46.79
51.6663,46.76
51.7046,46.73
51.7336,46.72
51.7742,46.70
51.8044,46.69
51.8388,46.73
51.8785,46.70
51.9185,46.72
51.9778,46.81
52.0132,46.78
52.0496,46.78
52.0837,46.80
52.1131,46.83
52.1771,46.80
52.2338,46.71
52.2721,46.75
52.3112,46.74
52.3366,46.80
52.3824,46.81
52.4510,46.85
52.4844,46.88
52.5200,46.86
52.5526,46.83
52.5874,46.76
52.6508,46.86
52.6864,46.83
52.7190,46.84
52.7444,46.76
52.7743,46.84
52.8037,46.82
52.8415,46.83
52.8816,46.83
52.9189,46.87
52.9826,46.89
53.0497,46.92
53.0881,46.97
53.1207,46.99
53.1481,46.94
53.1826,46.93
53.2528,46.93
53.2870,46.97
53.3178,46.96
53.3474,46.95
53.3803,46.93
53.4082,46.88
53.4452,46.94
53.4809,46.93
53.5171,46.90
53.5495,46.91
53.5787,46.87
53.6091,46.83
53.6460,46.82
53.6771,46.82
53.7104,46.74
53.7434,46.76
53.7780,46.82
53.8074,46.79
53.8415,46.82
53.8784,46.80
53.9064,46.86
53.9448,46.86
53.9774,46.80
54.0346,46.72
54.0717,46.70
54.1122,46.74
54.1447,46.72
54.1774,46.79
54.2061,46.73
54.2419,46.70
54.2829,46.68
54.3161,46.63
54.3452,46.64
54.3765,46.62
54.4089,46.58
54.4419,46.59
54.4760,46.55
54.5085,46.52
54.5418,46.50
54.5759,46.46
54.6046,46.43
54.6435,46.37
54.6827,46.40
54.7211,46.39
54.7533,46.35
54.8058,46.35
54.8428,46.34
54.8777,46.34
54.9146,46.31
54.9507,46.35
54.9815,46.31
55.0482,46.38
55.0844,46.41
55.1166,46.40
55.1490,46.35
55.1813,46.35
55.2474,46.35
